MeSH Disease Term,Albuminuria,Cough,Dizziness,Edema,Oliguria,Overweight,Proteinuria,Purpura,Purpura Schoenlein Henoch,Seizures,Sleep Disorders,Syncope Vasovagal,Urinary Incontinence
Atrioventricular Block,0,3.944,5.37,0,0,0,0,0,0,0,1.493,6.365,0
Dyslipidemias,12.391,0,0,0.596,0,15.654,12.49,0,0,0,0,0,0
Fatty Liver,10.325,0,0,2.384,0,28.836,2.498,1.063,0,8.452,0,3.183,0
"Glomerulonephritis, Membranoproliferative",10.325,1.315,0,4.767,0,0,177.355,2.126,27.975,0,1.493,0,0
"Glomerulosclerosis, Focal Segmental",92.929,0,0,5.363,0,0,577.028,0,7.993,1.69,0,0,0
Glucose Intolerance,43.367,0,1.342,0.596,0,24.716,3.747,0,0,0,7.465,0,0
Hyperinsulinism,30.976,0,4.027,1.192,0,11.534,8.743,0,0,14.368,1.493,0,0
Hyperlipidemias,76.408,0,10.74,4.171,2.614,10.71,101.167,2.126,0,3.381,0,0,0
Hypertriglyceridemia,14.456,0,2.685,0,0,9.886,6.245,1.063,0,0,0,0,0
Immune Complex Diseases,10.325,0,0,2.979,0,0,116.155,7.443,43.961,0,0,0,0
Insulin Resistance,20.651,0,0,0.596,0,15.654,0,0,0,0,0,0,0
Lecithin Acyltransferase Deficiency,2.065,0,0,0.596,0,0,18.735,0,0,0,0,0,0
Lupus Nephritis,57.822,0,0,4.171,0,0,329.73,0,9.991,3.381,0,0,0
Metabolic Diseases,10.325,0,6.712,1.192,0,11.534,7.494,1.063,0,13.523,7.465,0,1.618
"Nephritis, Interstitial",37.172,0,0,4.171,28.754,0,168.612,3.19,7.993,3.381,0,0,0
Nephrosis,74.343,0,0,11.322,2.614,0,246.049,3.19,5.995,0,0,0,0
Sick Sinus Syndrome,0,1.315,9.397,0,0,0,0,0,0,0,0,19.095,0
"Tachycardia, Ventricular",0,2.629,9.397,0,0,0,0,0,0,6.761,1.493,12.73,1.618
Torsades de Pointes,0,1.315,2.685,0.596,0,0,0,0,0,2.536,0,0,4.853
